销售流水,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
XS-2508-00011,2025-10-10 00:00:00,NY-KW-2508-002,连锁门店,佛山,828.8,749,79.8,18.22,15100.74,11.1,0,无
XS-2508-00012,2025-10-11 00:00:00,NY-KW-2508-002,连锁门店,深圳,1518.9,1382.6,136.3,25.35,38504.12,25.8,3,偏软
XS-2508-00013,2025-10-12 00:00:00,NY-KW-2508-002,社区电商,广州,1403.7,1029.8,373.9,19.39,27217.74,14.4,0,无
XS-2508-00014,2025-10-13 00:00:00,NY-KW-2508-002,批发客户,深圳,400.3,286.8,113.5,18.53,7417.56,1,0,无
XS-2508-00015,2025-10-14 00:00:00,NY-KW-2508-002,社区电商,广州,849.7,674.5,175.2,19.92,16926.02,0.5,1,偏硬
XS-2508-00016,2025-10-15 00:00:00,NY-KW-2508-002,社区电商,东莞,1162.8,817.7,345.1,24.12,28046.74,4.5,0,无
XS-2508-00017,2025-10-16 00:00:00,NY-KW-2508-002,批发客户,佛山,1153,908.2,244.8,23.51,27107.03,13.9,0,无
XS-2508-00018,2025-09-22 00:00:00,NY-KW-2508-003,连锁门店,东莞,1146.1,1114.1,32,30.18,34589.3,0.3,1,偏硬
XS-2508-00019,2025-09-23 00:00:00,NY-KW-2508-003,批发客户,东莞,1572.2,1434.7,137.5,29.57,46489.95,21.5,3,外观
XS-2508-00020,2025-09-24 00:00:00,NY-KW-2508-003,社区电商,东莞,251.2,219.1,32.1,27.98,7028.58,3.4,0,无
XS-2508-00021,2025-09-25 00:00:00,NY-KW-2508-003,社区电商,惠州,934.7,877.1,57.6,23.98,22414.11,7.5,1,偏软
XS-2508-00022,2025-09-26 00:00:00,NY-KW-2508-003,连锁门店,深圳,1002.3,758.7,243.6,30.53,30600.22,10.2,0,无
XS-2508-00023,2025-09-27 00:00:00,NY-KW-2508-003,社区电商,东莞,1278.1,1074.6,203.5,26,33230.6,13.6,0,无
XS-2508-00024,2025-10-08 00:00:00,NY-KW-2508-004,批发客户,广州,985.7,878.1,107.6,22.57,22247.25,6.3,1,偏软
XS-2508-00025,2025-10-09 00:00:00,NY-KW-2508-004,连锁门店,佛山,1279.5,1175.1,104.4,23.43,29978.69,6.2,0,无
XS-2508-00026,2025-10-10 00:00:00,NY-KW-2508-004,社区电商,广州,1385.8,1203.2,182.6,19.22,26635.08,19.1,1,风味一般
XS-2508-00027,2025-10-11 00:00:00,NY-KW-2508-004,连锁门店,佛山,1320.5,1022,298.5,21.08,27836.14,23,0,无
XS-2508-00028,2025-10-12 00:00:00,NY-KW-2508-004,企业团购,佛山,1120.2,745.2,375,16.94,18976.19,10.2,0,无
XS-2508-00029,2025-10-13 00:00:00,NY-KW-2508-004,连锁门店,深圳,473,384.1,88.9,22.63,10703.99,1.1,1,偏硬
XS-2508-00030,2025-10-14 00:00:00,NY-KW-2508-004,社区电商,佛山,1166.1,799.3,366.8,20.47,23870.07,10.7,0,无
XS-2508-00031,2025-10-01 00:00:00,NY-KW-2508-005,社区电商,广州,1539.8,1412.9,126.9,29.27,45069.95,5.6,1,偏软
XS-2508-00032,2025-10-02 00:00:00,NY-KW-2508-005,连锁门店,广州,963.6,877.4,86.2,21.94,21141.38,13.7,2,外观
XS-2508-00033,2025-10-03 00:00:00,NY-KW-2508-005,批发客户,深圳,1366.2,1123.1,243.1,27.98,38226.28,22,0,无
XS-2508-00034,2025-10-04 00:00:00,NY-KW-2508-005,连锁门店,南宁,1596.7,1320.4,276.3,21.92,34999.66,11.8,0,无
XS-2508-00035,2025-10-05 00:00:00,NY-KW-2508-005,企业团购,南宁,643.1,488.8,154.3,20.35,13087.09,0.4,0,无
XS-2508-00036,2025-10-06 00:00:00,NY-KW-2508-005,连锁门店,广州,1049.8,819.2,230.6,22.33,23442.03,6,1,偏硬
XS-2508-00037,2025-10-07 00:00:00,NY-KW-2508-005,批发客户,佛山,1492.4,1178.4,314,28.92,43160.21,11,0,无
XS-2508-00038,2025-09-04 00:00:00,NY-KW-2508-006,社区电商,东莞,1536,1536,0,24.92,38277.12,8.6,0,无
XS-2508-00039,2025-09-05 00:00:00,NY-KW-2508-006,社区电商,南宁,746.2,682.5,63.7,20.39,15215.02,4.9,1,偏软
XS-2508-00040,2025-09-06 00:00:00,NY-KW-2508-006,社区电商,深圳,390.9,367.6,23.3,20.65,8072.08,5.5,1,偏软
XS-2508-00041,2025-09-07 00:00:00,NY-KW-2508-006,连锁门店,南宁,1012.7,838.2,174.5,23.49,23788.32,12.1,0,无
XS-2508-00042,2025-09-08 00:00:00,NY-KW-2508-006,批发客户,东莞,424.4,312.4,112,24,10185.6,1.6,0,无
XS-2508-00043,2025-09-09 00:00:00,NY-KW-2508-006,批发客户,佛山,1229.6,886.2,343.4,25.96,31920.42,19.7,0,无
XS-2508-00044,2025-09-10 00:00:00,NY-KW-2508-006,批发客户,广州,359.1,266.3,92.8,23.55,8456.81,2.9,0,无
XS-2508-00045,2025-09-11 00:00:00,NY-KW-2508-006,批发客户,深圳,1141.8,886.4,255.4,20.04,22881.67,11.6,0,无
XS-2508-00046,2025-09-25 00:00:00,NY-KW-2508-007,社区电商,南宁,994.9,824.4,170.5,27.69,27548.78,5.7,0,无
XS-2508-00047,2025-09-26 00:00:00,NY-KW-2508-007,社区电商,深圳,915,915,0,33.53,30679.95,15,0,无
XS-2508-00048,2025-09-27 00:00:00,NY-KW-2508-007,企业团购,广州,914,806.8,107.2,23.98,21917.72,8.4,0,无
XS-2508-00049,2025-09-28 00:00:00,NY-KW-2508-007,连锁门店,深圳,1120.3,1003.1,117.2,32.55,36465.76,15.7,0,无
XS-2508-00050,2025-09-29 00:00:00,NY-KW-2508-007,连锁门店,深圳,471.9,391.1,80.8,24.69,11651.21,7.7,3,风味一般
XS-2508-00051,2025-09-30 00:00:00,NY-KW-2508-007,社区电商,深圳,1503,1123.5,379.5,25.9,38927.7,6.6,0,无
XS-2508-00052,2025-10-07 00:00:00,NY-KW-2508-008,企业团购,东莞,1375.1,1276.6,98.5,29.18,40125.42,6,0,无
XS-2508-00053,2025-10-08 00:00:00,NY-KW-2508-008,批发客户,东莞,1511.8,1263.7,248.1,26.33,39805.69,16.3,0,无
XS-2508-00054,2025-10-09 00:00:00,NY-KW-2508-008,连锁门店,佛山,967.9,806.8,161.1,33.12,32056.85,16.6,0,无
XS-2508-00055,2025-10-10 00:00:00,NY-KW-2508-008,连锁门店,深圳,1227,997.4,229.6,32.1,39386.7,16.9,0,无
XS-2508-00056,2025-10-11 00:00:00,NY-KW-2508-008,批发客户,广州,599.6,562.1,37.5,27.71,16614.92,0.7,0,无
XS-2508-00057,2025-10-12 00:00:00,NY-KW-2508-008,连锁门店,南宁,573.6,409.3,164.3,22.49,12900.26,7.6,0,无
XS-2508-00058,2025-10-13 00:00:00,NY-KW-2508-008,社区电商,广州,771.1,548.1,223,31.67,24420.74,3.3,0,无
XS-2508-00059,2025-10-14 00:00:00,NY-KW-2508-008,社区电商,惠州,1466.2,925.5,540.7,22.59,33121.46,3.1,0,无
XS-2508-00060,2025-09-26 00:00:00,NY-KW-2508-009,企业团购,广州,860.3,860.3,0,26.2,22539.86,7.7,0,无
XS-2508-00061,2025-09-27 00:00:00,NY-KW-2508-009,社区电商,深圳,643.6,614.4,29.2,24.37,15684.53,2.6,0,无
XS-2508-00062,2025-09-28 00:00:00,NY-KW-2508-009,批发客户,广州,181.7,150.9,30.8,30.47,5536.4,2.8,2,偏硬
XS-2508-00063,2025-09-29 00:00:00,NY-KW-2508-009,企业团购,深圳,286.4,219.6,66.8,27.27,7810.13,2.5,0,无
XS-2508-00064,2025-09-30 00:00:00,NY-KW-2508-009,社区电商,深圳,1050.2,851.6,198.6,31.71,33301.84,1.6,0,无
XS-2508-00065,2025-10-20 00:00:00,NY-KW-2508-010,连锁门店,广州,591.1,591.1,0,27.33,16154.76,0.5,0,无
XS-2508-00066,2025-10-21 00:00:00,NY-KW-2508-010,社区电商,广州,364,317.5,46.5,27.84,10133.76,2.8,0,无
XS-2508-00067,2025-10-22 00:00:00,NY-KW-2508-010,批发客户,深圳,1422.8,1220.4,202.4,27.9,39696.12,18.5,0,无
XS-2508-00068,2025-10-23 00:00:00,NY-KW-2508-010,批发客户,深圳,1335.3,1109.9,225.4,27,36053.1,13,0,无
XS-2508-00069,2025-10-24 00:00:00,NY-KW-2508-010,批发客户,广州,1550.7,954.1,596.6,23.98,37185.79,4,0,无
XS-2508-00070,2025-10-25 00:00:00,NY-KW-2508-010,批发客户,深圳,977,713.9,263.1,27.57,26935.89,4.2,3,偏硬
XS-2508-00071,2025-10-26 00:00:00,NY-KW-2508-010,连锁门店,佛山,1370.8,846,524.8,25.51,34969.11,19.7,1,风味一般
XS-2508-00072,2025-10-27 00:00:00,NY-KW-2508-010,批发客户,广州,307.3,201.1,106.2,30.23,9289.68,2.6,0,无
XS-2508-00073,2025-09-25 00:00:00,NY-KW-2508-011,批发客户,佛山,804.2,758.3,45.9,22.71,18263.38,2.1,2,外观
XS-2508-00074,2025-09-26 00:00:00,NY-KW-2508-011,社区电商,东莞,1532.8,1410.8,122,25.49,39071.07,8.4,0,无
XS-2508-00075,2025-09-27 00:00:00,NY-KW-2508-011,连锁门店,佛山,401.3,353.3,48,24.98,10024.47,7.1,0,无
XS-2508-00076,2025-09-28 00:00:00,NY-KW-2508-011,企业团购,惠州,969.1,788.8,180.3,29.16,28258.96,0.2,0,无
XS-2508-00077,2025-09-29 00:00:00,NY-KW-2508-011,社区电商,深圳,561.4,490.4,71,25.69,14422.37,2.1,1,偏软
XS-2508-00078,2025-09-30 00:00:00,NY-KW-2508-011,社区电商,广州,448.3,394.4,53.9,25.55,11454.07,2.4,0,无
XS-2508-00079,2025-10-01 00:00:00,NY-KW-2508-011,批发客户,佛山,323.1,266.3,56.8,29.76,9615.46,1.5,2,偏软
XS-2508-00080,2025-09-19 00:00:00,NY-KW-2508-012,社区电商,佛山,663.7,571.1,92.6,31.49,20899.91,11.7,1,偏硬
XS-2508-00081,2025-09-20 00:00:00,NY-KW-2508-012,批发客户,深圳,865.5,734.6,130.9,26.49,22927.09,2.9,0,无
XS-2508-00082,2025-09-21 00:00:00,NY-KW-2508-012,社区电商,东莞,620.9,571.3,49.6,30.2,18751.18,0.9,0,无
XS-2508-00083,2025-09-22 00:00:00,NY-KW-2508-012,批发客户,惠州,667.5,564.6,102.9,28.88,19277.4,10.8,0,无
XS-2508-00084,2025-09-23 00:00:00,NY-KW-2508-012,社区电商,深圳,1217.6,787.4,430.2,23.43,28528.37,14.4,0,无
XS-2508-00085,2025-09-24 00:00:00,NY-KW-2508-012,社区电商,广州,269.6,197.7,71.9,24.37,6570.15,4,0,无
XS-2508-00086,2025-09-25 00:00:00,NY-KW-2508-012,企业团购,东莞,1084.7,912,172.7,26.04,28245.59,12.6,0,无
XS-2508-00087,2025-10-09 00:00:00,NY-KW-2508-013,连锁门店,佛山,814.9,760.1,54.8,22.37,18229.31,9.4,0,无
XS-2508-00088,2025-10-10 00:00:00,NY-KW-2508-013,企业团购,南宁,416.1,387,29.1,27.61,11488.52,5.7,1,偏硬
XS-2508-00089,2025-10-11 00:00:00,NY-KW-2508-013,社区电商,惠州,1137,955.7,181.3,24.14,27447.18,13,0,无
XS-2508-00090,2025-10-12 00:00:00,NY-KW-2508-013,社区电商,佛山,942.9,761.3,181.6,24.88,23459.35,0.6,0,无
XS-2508-00091,2025-10-13 00:00:00,NY-KW-2508-013,连锁门店,惠州,450.4,347.2,103.2,23.59,10624.94,1,0,无
XS-2508-00092,2025-10-04 00:00:00,NY-KW-2508-014,企业团购,东莞,705.6,610.7,94.9,21.29,15022.22,12.1,0,无
XS-2508-00093,2025-10-05 00:00:00,NY-KW-2508-014,批发客户,深圳,338.9,281.3,57.6,20.27,6869.5,3.1,0,无
XS-2508-00094,2025-10-06 00:00:00,NY-KW-2508-014,连锁门店,广州,1030.4,937.8,92.6,23.33,24039.23,12.5,0,无
XS-2508-00095,2025-10-07 00:00:00,NY-KW-2508-014,批发客户,东莞,1367.4,1012.8,354.6,22.53,30807.52,23.4,0,无
XS-2508-00096,2025-10-08 00:00:00,NY-KW-2508-014,社区电商,东莞,694,529.2,164.8,17.25,11971.5,10.9,0,无
XS-2508-00097,2025-10-09 00:00:00,NY-KW-2508-014,连锁门店,广州,450.3,374,76.3,24.39,10982.82,3.1,0,无
XS-2508-00098,2025-10-10 00:00:00,NY-KW-2508-014,社区电商,东莞,892.5,720.9,171.6,20.9,18653.25,10.6,0,无
XS-2508-00099,2025-10-11 00:00:00,NY-KW-2508-014,社区电商,深圳,1108.4,776,332.4,19.57,21691.39,7.8,0,无
XS-2508-00100,2025-10-19 00:00:00,NY-KW-2508-015,社区电商,惠州,1377.8,1315.5,62.3,23.76,32736.53,6.1,0,无
XS-2508-00101,2025-10-20 00:00:00,NY-KW-2508-015,社区电商,东莞,1219.3,1155.6,63.7,19.14,23337.4,15.1,0,无
XS-2508-00102,2025-10-21 00:00:00,NY-KW-2508-015,社区电商,南宁,1513.7,1430.3,83.4,20.31,30743.25,14.9,1,风味一般
XS-2508-00103,2025-10-22 00:00:00,NY-KW-2508-015,社区电商,南宁,1125.6,956.9,168.7,22.96,25843.78,8.6,0,无
XS-2508-00104,2025-10-23 00:00:00,NY-KW-2508-015,社区电商,广州,514.8,405.8,109,22.98,11830.1,6.1,0,无
XS-2508-00105,2025-10-24 00:00:00,NY-KW-2508-015,连锁门店,惠州,901.5,619.8,281.7,18.35,16542.53,0,0,无
XS-2508-00106,2025-10-25 00:00:00,NY-KW-2508-015,企业团购,南宁,465.6,325,140.6,21.1,9824.16,8.3,0,无
XS-2508-00107,2025-10-26 00:00:00,NY-KW-2508-015,社区电商,惠州,339.2,195.7,143.5,18.69,6339.65,6,3,外观
XS-2508-00108,2025-10-13 00:00:00,NY-KW-2508-016,连锁门店,南宁,1431.2,1420.1,11.1,26.08,37325.7,11.3,0,无
XS-2508-00109,2025-10-14 00:00:00,NY-KW-2508-016,连锁门店,南宁,1178.8,939.2,239.6,26.82,31615.42,5.5,0,无
XS-2508-00110,2025-10-15 00:00:00,NY-KW-2508-016,批发客户,南宁,1460.7,1295.1,165.6,24.39,35626.47,24.7,0,无
XS-2508-00111,2025-10-16 00:00:00,NY-KW-2508-016,批发客户,惠州,750.9,563.9,187,22.08,16579.87,12.8,0,无
XS-2508-00112,2025-10-17 00:00:00,NY-KW-2508-016,社区电商,佛山,1256.8,1167.2,89.6,30.9,38835.12,12.7,0,无
XS-2508-00113,2025-10-18 00:00:00,NY-KW-2508-016,企业团购,南宁,1415.6,997.6,418,24.45,34611.42,19.1,1,风味一般
XS-2508-00114,2025-10-01 00:00:00,NY-KW-2508-017,社区电商,惠州,1441.9,1441.9,0,22.67,32687.87,7,0,无
XS-2508-00115,2025-10-02 00:00:00,NY-KW-2508-017,连锁门店,南宁,685.9,514.6,171.3,23.37,16029.48,6.9,0,无
XS-2508-00116,2025-10-03 00:00:00,NY-KW-2508-017,连锁门店,惠州,406.5,345.6,60.9,23,9349.5,3.8,0,无
XS-2508-00117,2025-10-04 00:00:00,NY-KW-2508-017,连锁门店,惠州,315.2,249.2,66,21.61,6811.47,1.5,1,偏软
XS-2508-00118,2025-10-05 00:00:00,NY-KW-2508-017,社区电商,深圳,647.8,438.7,209.1,23.82,15430.6,3,0,无
XS-2508-00119,2025-10-06 00:00:00,NY-KW-2508-017,连锁门店,深圳,997.9,749.3,248.6,21.2,21155.48,12.8,0,无
XS-2508-00120,2025-10-07 00:00:00,NY-KW-2508-017,社区电商,南宁,282.7,211.2,71.5,25,7067.5,4.6,0,无
XS-2508-00121,2025-10-08 00:00:00,NY-KW-2508-017,批发客户,惠州,340.9,186.4,154.5,18.29,6235.06,3.4,0,无
XS-2508-00122,2025-10-09 00:00:00,NY-KW-2508-017,批发客户,南宁,443.1,310.8,132.3,20.16,8932.9,4.4,0,无
XS-2508-00123,2025-10-10 00:00:00,NY-KW-2508-018,批发客户,佛山,1042.7,1042.7,0,24,25024.8,8,0,无
XS-2508-00124,2025-10-11 00:00:00,NY-KW-2508-018,企业团购,东莞,1069.3,979.6,89.7,22.06,23588.76,19.2,1,外观
XS-2508-00125,2025-10-12 00:00:00,NY-KW-2508-018,社区电商,惠州,309.1,256.3,52.8,24.16,7467.86,0.5,2,偏软
XS-2508-00126,2025-10-13 00:00:00,NY-KW-2508-018,社区电商,南宁,210.3,156.4,53.9,22.49,4729.65,2.1,0,无
XS-2508-00127,2025-10-14 00:00:00,NY-KW-2508-018,批发客户,佛山,510.1,372.7,137.4,20.86,10640.69,5.1,0,无
XS-2508-00128,2025-10-15 00:00:00,NY-KW-2508-018,企业团购,广州,538.1,449.6,88.5,23.51,12650.73,4.1,0,无
XS-2508-00129,2025-10-16 00:00:00,NY-KW-2508-018,批发客户,深圳,1569.3,1215.6,353.7,24.37,38243.84,13.4,0,无
XS-2508-00130,2025-09-21 00:00:00,NY-KW-2508-019,社区电商,广州,1297.7,1182.7,115,32.67,42395.86,9.9,0,无
XS-2508-00131,2025-09-22 00:00:00,NY-KW-2508-019,企业团购,惠州,283,283,0,36.86,10431.38,3,0,无
XS-2508-00132,2025-09-23 00:00:00,NY-KW-2508-019,连锁门店,广州,278.6,184.4,94.2,33.76,9405.54,4.4,0,无
XS-2508-00133,2025-09-24 00:00:00,NY-KW-2508-019,企业团购,广州,1134.9,985.1,149.8,32.14,36475.69,13.3,0,无
XS-2508-00134,2025-09-25 00:00:00,NY-KW-2508-019,社区电商,佛山,1046.9,965.1,81.8,35.14,36788.07,16.5,0,无
XS-2508-00135,2025-09-26 00:00:00,NY-KW-2508-019,批发客户,东莞,831.8,672.4,159.4,33.29,27690.62,1.7,0,无
XS-2508-00136,2025-09-27 00:00:00,NY-KW-2508-019,社区电商,南宁,757.3,558.8,198.5,26.18,19826.11,2.1,1,偏硬
XS-2508-00137,2025-09-19 00:00:00,NY-KW-2508-020,社区电商,南宁,247.2,247.2,0,27.65,6835.08,3.5,1,外观
XS-2508-00138,2025-09-20 00:00:00,NY-KW-2508-020,连锁门店,深圳,1113.6,977.5,136.1,22.94,25545.98,17.5,0,无
XS-2508-00139,2025-09-21 00:00:00,NY-KW-2508-020,企业团购,广州,1112,1011.4,100.6,19.69,21895.28,19.1,1,外观
XS-2508-00140,2025-09-22 00:00:00,NY-KW-2508-020,连锁门店,深圳,1003.4,829.5,173.9,26.78,26871.05,2.5,3,偏硬
XS-2508-00141,2025-09-23 00:00:00,NY-KW-2508-020,批发客户,惠州,1167.4,955.8,211.6,26.92,31426.41,20.6,0,无
XS-2508-00142,2025-09-24 00:00:00,NY-KW-2508-020,社区电商,惠州,339.6,242.4,97.2,20.14,6839.54,4.8,2,风味一般
XS-2508-00143,2025-09-25 00:00:00,NY-KW-2508-020,连锁门店,深圳,447.3,341.2,106.1,24.61,11008.05,3.7,0,无
XS-2508-00144,2025-09-26 00:00:00,NY-KW-2508-020,社区电商,惠州,815.3,549,266.3,23.1,18833.43,11.2,0,无
XS-2508-00145,2025-08-29 00:00:00,NY-KW-2508-021,连锁门店,深圳,617.7,592.4,25.3,27.61,17054.7,5.4,0,无
XS-2508-00146,2025-08-30 00:00:00,NY-KW-2508-021,社区电商,广州,1513.4,1465.9,47.5,36.53,55284.5,1.8,0,无
XS-2508-00147,2025-08-31 00:00:00,NY-KW-2508-021,连锁门店,东莞,922.7,685.1,237.6,29,26758.3,6.5,0,无
XS-2508-00148,2025-09-01 00:00:00,NY-KW-2508-021,批发客户,佛山,1086,771.9,314.1,30.08,32666.88,17.2,0,无
XS-2508-00149,2025-09-02 00:00:00,NY-KW-2508-021,社区电商,东莞,1380.3,995.9,384.4,26.8,36992.04,3.6,0,无
XS-2508-00150,2025-09-03 00:00:00,NY-KW-2508-021,批发客户,深圳,1322.8,1120.7,202.1,31.25,41337.5,5,1,偏硬
XS-2508-00151,2025-09-04 00:00:00,NY-KW-2508-021,批发客户,佛山,1142.6,859.2,283.4,24.2,27650.92,17.9,0,无
XS-2508-00152,2025-09-05 00:00:00,NY-KW-2508-021,连锁门店,深圳,854.8,676.5,178.3,34.53,29516.24,2.2,0,无
XS-2508-00153,2025-09-09 00:00:00,NY-KW-2508-022,企业团购,惠州,850.4,667.2,183.2,32.23,27408.39,6.4,1,偏硬
XS-2508-00154,2025-09-10 00:00:00,NY-KW-2508-022,连锁门店,南宁,252.1,237.6,14.5,29.23,7368.88,3.8,2,风味一般
XS-2508-00155,2025-09-11 00:00:00,NY-KW-2508-022,社区电商,南宁,1493.2,1391.8,101.4,27.57,41167.52,10.4,0,无
XS-2508-00156,2025-09-12 00:00:00,NY-KW-2508-022,社区电商,深圳,1577.7,1332,245.7,27.31,43086.99,15,0,无
XS-2508-00157,2025-09-13 00:00:00,NY-KW-2508-022,连锁门店,南宁,1347.6,1094.5,253.1,32.31,43540.96,23.3,1,偏硬
XS-2508-00158,2025-09-14 00:00:00,NY-KW-2508-022,社区电商,南宁,955.3,740.5,214.8,31.23,29834.02,14.1,0,无
XS-2508-00159,2025-09-12 00:00:00,NY-KW-2508-023,企业团购,东莞,391,368.8,22.2,24.96,9759.36,5.3,0,无
XS-2508-00160,2025-09-13 00:00:00,NY-KW-2508-023,连锁门店,南宁,711.4,613.1,98.3,26.25,18674.25,2.2,0,无
XS-2508-00161,2025-09-14 00:00:00,NY-KW-2508-023,连锁门店,深圳,1541.8,1292.6,249.2,24.84,38298.31,18.7,1,偏硬
XS-2508-00162,2025-09-15 00:00:00,NY-KW-2508-023,社区电商,佛山,406.7,333.6,73.1,25.57,10399.32,3.4,0,无
XS-2508-00163,2025-09-16 00:00:00,NY-KW-2508-023,连锁门店,东莞,269,198.6,70.4,26.78,7203.82,0.7,1,偏软
XS-2508-00164,2025-09-17 00:00:00,NY-KW-2508-023,社区电商,东莞,1087.6,909.3,178.3,32.35,35183.86,12.2,0,无
XS-2508-00165,2025-09-22 00:00:00,NY-KW-2508-024,批发客户,广州,658.7,578.4,80.3,20.16,13279.39,3.8,0,无
XS-2508-00166,2025-09-23 00:00:00,NY-KW-2508-024,连锁门店,南宁,612,534.8,77.2,21.65,13249.8,10.1,0,无
XS-2508-00167,2025-09-24 00:00:00,NY-KW-2508-024,连锁门店,深圳,545.8,495.3,50.5,19.18,10468.44,7.5,0,无
XS-2508-00168,2025-09-25 00:00:00,NY-KW-2508-024,批发客户,深圳,1401.8,1168.7,233.1,18.78,26325.8,12.2,0,无
XS-2508-00169,2025-09-26 00:00:00,NY-KW-2508-024,批发客户,南宁,562.5,411.1,151.4,18.14,10203.75,5.1,2,风味一般
XS-2508-00170,2025-10-17 00:00:00,NY-KW-2508-025,连锁门店,深圳,1020.1,1014.9,5.2,25.53,26043.15,7.8,0,无
XS-2508-00171,2025-10-18 00:00:00,NY-KW-2508-025,社区电商,东莞,714.1,532.5,181.6,19.39,13846.4,7.8,0,无
XS-2508-00172,2025-10-19 00:00:00,NY-KW-2508-025,企业团购,东莞,1448.3,1171.1,277.2,21.29,30834.31,7.5,0,无
XS-2508-00173,2025-10-20 00:00:00,NY-KW-2508-025,连锁门店,南宁,1238.7,1098.4,140.3,22.71,28130.88,21.7,1,偏软
XS-2508-00174,2025-10-21 00:00:00,NY-KW-2508-025,社区电商,惠州,462.5,379,83.5,23.22,10739.25,6,0,无
XS-2508-00175,2025-10-22 00:00:00,NY-KW-2508-025,社区电商,东莞,1290,1047.4,242.6,21.31,27489.9,9.1,0,无
XS-2508-00176,2025-10-23 00:00:00,NY-KW-2508-025,批发客户,南宁,246.7,196,50.7,18.59,4586.15,3,1,偏硬
XS-2508-00177,2025-09-05 00:00:00,NY-KW-2508-026,连锁门店,惠州,1013.8,914.1,99.7,33.57,34033.27,17.7,0,无
XS-2508-00178,2025-09-06 00:00:00,NY-KW-2508-026,连锁门店,广州,919.4,732.7,186.7,28.04,25779.98,10.3,0,无
XS-2508-00179,2025-09-07 00:00:00,NY-KW-2508-026,批发客户,佛山,547.1,429,118.1,26.51,14503.62,2.7,0,无
XS-2508-00180,2025-09-08 00:00:00,NY-KW-2508-026,连锁门店,深圳,919.5,808.7,110.8,33.61,30904.4,2.9,0,无
XS-2508-00181,2025-09-09 00:00:00,NY-KW-2508-026,批发客户,佛山,590.6,553.4,37.2,28.33,16731.7,8.6,1,偏硬
XS-2508-00182,2025-09-10 00:00:00,NY-KW-2508-026,连锁门店,广州,761.9,599.8,162.1,29.23,22270.34,12.9,0,无
XS-2508-00183,2025-09-11 00:00:00,NY-KW-2508-026,连锁门店,东莞,1050.6,829.3,221.3,31.78,33388.07,12.6,0,无
XS-2508-00184,2025-09-12 00:00:00,NY-KW-2508-026,连锁门店,东莞,1361.5,771.6,589.9,33.78,45991.47,6.1,1,偏软
XS-2508-00185,2025-09-13 00:00:00,NY-KW-2508-026,企业团购,广州,1055.7,763.6,292.1,26.1,27553.77,7.4,1,偏软
XS-2508-00186,2025-09-07 00:00:00,NY-KW-2508-027,连锁门店,惠州,1527.3,1383.1,144.2,32.08,48995.78,11.9,0,无
XS-2508-00187,2025-09-08 00:00:00,NY-KW-2508-027,社区电商,惠州,236,209.7,26.3,28.18,6650.48,1.6,0,无
XS-2508-00188,2025-09-09 00:00:00,NY-KW-2508-027,连锁门店,惠州,752.6,629.9,122.7,35.2,26491.52,4.8,3,偏硬
XS-2508-00189,2025-09-10 00:00:00,NY-KW-2508-027,连锁门店,广州,1394.2,1081,313.2,38.16,53202.67,12.4,0,无
XS-2508-00190,2025-09-11 00:00:00,NY-KW-2508-027,社区电商,广州,373,307.8,65.2,36.55,13633.15,0.7,0,无
