渠道动销,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
DH-2508-0043,2025-10-07 00:00:00,NY-KW-2508-005,社区电商,惠州,961.7,916.5,0.047,0.034,2,补货及时
DH-2508-0044,2025-10-01 00:00:00,NY-KW-2508-009,社区电商,南宁,1152.6,988.9,0.142,0.157,4.6,动销慢
DH-2508-0045,2025-10-10 00:00:00,NY-KW-2508-004,连锁门店,珠海,466.7,457.4,0.02,0.021,3.2,需关注货架期
DH-2508-0046,2025-09-27 00:00:00,NY-KW-2508-024,社区电商,南宁,516,452.5,0.123,0.153,2.2,正常
DH-2508-0047,2025-09-26 00:00:00,NY-KW-2508-003,批发客户,珠海,269.7,244.6,0.093,0.066,1.9,补货及时
DH-2508-0048,2025-10-09 00:00:00,NY-KW-2508-008,批发客户,深圳,803.1,695.5,0.134,0.097,3.5,需关注货架期
DH-2508-0049,2025-10-12 00:00:00,NY-KW-2508-008,社区电商,广州,753.4,737.6,0.021,0.012,3.2,需关注货架期
DH-2508-0050,2025-10-13 00:00:00,NY-KW-2508-013,连锁门店,惠州,1098.8,918.6,0.164,0.163,3,补货及时
DH-2508-0051,2025-10-15 00:00:00,NY-KW-2508-002,社区电商,南宁,186.7,166,0.111,0.129,3.1,偏软反馈
DH-2508-0052,2025-10-11 00:00:00,NY-KW-2508-018,连锁门店,南宁,630.2,552.7,0.123,0.122,1.7,需关注货架期
DH-2508-0053,2025-09-10 00:00:00,NY-KW-2508-006,批发客户,广州,918.9,843.6,0.082,0.109,2.5,正常
DH-2508-0054,2025-10-08 00:00:00,NY-KW-2508-008,连锁门店,深圳,566.8,497.1,0.123,0.065,4.7,正常
DH-2508-0055,2025-09-13 00:00:00,NY-KW-2508-022,社区电商,深圳,308.7,293.6,0.049,0.048,3.5,动销慢
DH-2508-0056,2025-09-06 00:00:00,NY-KW-2508-006,连锁门店,深圳,835.3,791,0.053,0.065,4.4,正常
DH-2508-0057,2025-09-19 00:00:00,NY-KW-2508-020,连锁门店,惠州,477.2,398,0.166,0.166,3.9,补货及时
DH-2508-0058,2025-09-21 00:00:00,NY-KW-2508-020,连锁门店,珠海,248.2,222.9,0.102,0.118,4.7,需关注货架期
DH-2508-0059,2025-10-13 00:00:00,NY-KW-2508-002,批发客户,佛山,126,113.3,0.101,0.13,1.6,需关注货架期
DH-2508-0060,2025-10-20 00:00:00,NY-KW-2508-025,批发客户,惠州,934.8,872.2,0.067,0.069,1.6,偏软反馈
DH-2508-0061,2025-09-07 00:00:00,NY-KW-2508-006,连锁门店,广州,768.7,681.1,0.114,0.151,3.8,补货及时
DH-2508-0062,2025-09-25 00:00:00,NY-KW-2508-011,社区电商,惠州,546.8,511.8,0.064,0.034,3.9,补货及时
DH-2508-0063,2025-09-04 00:00:00,NY-KW-2508-006,批发客户,珠海,1132.2,994.1,0.122,0.161,4,动销慢
DH-2508-0064,2025-09-13 00:00:00,NY-KW-2508-022,连锁门店,惠州,235.4,216.3,0.081,0.073,2.6,正常
DH-2508-0065,2025-09-30 00:00:00,NY-KW-2508-009,企业团购,深圳,937.5,916.9,0.022,0.017,2.8,补货及时
DH-2508-0066,2025-09-09 00:00:00,NY-KW-2508-006,连锁门店,惠州,1113.6,1072.4,0.037,0.033,3.9,需关注货架期
DH-2508-0067,2025-09-30 00:00:00,NY-KW-2508-007,连锁门店,南宁,705.7,646.4,0.084,0.109,2,需关注货架期
DH-2508-0068,2025-09-02 00:00:00,NY-KW-2508-021,批发客户,珠海,285.7,245.1,0.142,0.183,2.7,偏软反馈
DH-2508-0069,2025-09-25 00:00:00,NY-KW-2508-011,连锁门店,惠州,713.9,633.2,0.113,0.114,2.9,补货及时
DH-2508-0070,2025-10-12 00:00:00,NY-KW-2508-013,社区电商,广州,935.7,803.8,0.141,0.072,1.7,偏软反馈
DH-2508-0071,2025-10-11 00:00:00,NY-KW-2508-018,连锁门店,惠州,734.7,686.2,0.066,0.055,3.7,补货及时
DH-2508-0072,2025-10-18 00:00:00,NY-KW-2508-025,批发客户,深圳,599.1,503.8,0.159,0.204,2.8,正常
DH-2508-0073,2025-09-10 00:00:00,NY-KW-2508-027,批发客户,惠州,1077.2,947.9,0.12,0.084,4.6,补货及时
DH-2508-0074,2025-09-17 00:00:00,NY-KW-2508-023,企业团购,深圳,771.1,635.4,0.176,0.123,3.1,需关注货架期
DH-2508-0075,2025-09-09 00:00:00,NY-KW-2508-006,连锁门店,东莞,540,521.1,0.035,0.035,4.3,需关注货架期
DH-2508-0076,2025-10-18 00:00:00,NY-KW-2508-025,连锁门店,佛山,1101,1033.8,0.061,0.072,2.9,补货及时
DH-2508-0077,2025-08-30 00:00:00,NY-KW-2508-001,批发客户,佛山,1157.1,1041.4,0.1,0.057,4.7,正常
DH-2508-0078,2025-10-15 00:00:00,NY-KW-2508-018,连锁门店,深圳,236.7,198.8,0.16,0.189,2.5,偏软反馈
DH-2508-0079,2025-10-07 00:00:00,NY-KW-2508-017,连锁门店,广州,469.8,456.6,0.028,0.018,1.7,正常
DH-2508-0080,2025-09-25 00:00:00,NY-KW-2508-024,社区电商,惠州,1070,911.6,0.148,0.168,4.7,需关注货架期
DH-2508-0081,2025-10-06 00:00:00,NY-KW-2508-005,连锁门店,惠州,437.1,406.1,0.071,0.041,3.2,需关注货架期
DH-2508-0082,2025-10-08 00:00:00,NY-KW-2508-014,社区电商,东莞,992.3,891.1,0.102,0.101,4.3,正常
DH-2508-0083,2025-10-10 00:00:00,NY-KW-2508-013,连锁门店,佛山,1195.9,1036.8,0.133,0.084,1.8,正常
DH-2508-0084,2025-09-20 00:00:00,NY-KW-2508-012,社区电商,佛山,292.4,272.8,0.067,0.083,2.5,需关注货架期
DH-2508-0085,2025-10-15 00:00:00,NY-KW-2508-013,社区电商,东莞,448.8,395.4,0.119,0.127,2.3,偏软反馈
DH-2508-0086,2025-09-30 00:00:00,NY-KW-2508-007,连锁门店,珠海,315.2,263.8,0.163,0.195,4.7,需关注货架期
DH-2508-0087,2025-10-09 00:00:00,NY-KW-2508-008,连锁门店,南宁,607.7,533.6,0.122,0.136,1.6,偏软反馈
DH-2508-0088,2025-09-11 00:00:00,NY-KW-2508-026,社区电商,珠海,623.5,521.2,0.164,0.192,2.2,偏软反馈
DH-2508-0089,2025-09-24 00:00:00,NY-KW-2508-020,连锁门店,南宁,1100.9,1000.7,0.091,0.057,3.1,偏软反馈
DH-2508-0090,2025-09-25 00:00:00,NY-KW-2508-019,社区电商,南宁,154.5,142.1,0.08,0.101,2.2,偏软反馈
