报损折价,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
BS-2508-0041,2025-10-28 00:00:00,NY-KW-2508-010,运输到货,规格不符,300,86.4,213.6,1472.95,否,需复盘
BS-2508-0042,2025-09-13 00:00:00,NY-KW-2508-022,门店收货,表皮皱缩,63.1,33.2,29.9,385.57,否,正常记录
BS-2508-0043,2025-10-23 00:00:00,NY-KW-2508-025,仓库分拣,表皮皱缩,172.8,104.6,68.2,812.85,否,正常记录
BS-2508-0044,2025-09-13 00:00:00,NY-KW-2508-027,运输到货,过熟偏软,94.5,61.1,33.4,708.93,是,已和采购沟通
BS-2508-0045,2025-09-30 00:00:00,NY-KW-2508-009,仓库分拣,软烂,446.3,132.9,313.4,2171.74,是,正常记录
BS-2508-0046,2025-09-13 00:00:00,NY-KW-2508-006,运输到货,软烂,174.2,113.6,60.6,980.75,是,正常记录
BS-2508-0047,2025-10-13 00:00:00,NY-KW-2508-002,运输到货,碰压伤,302.6,133.2,169.4,1144.7,否,门店已反馈
BS-2508-0048,2025-10-17 00:00:00,NY-KW-2508-004,运输到货,碰压伤,161,108.6,52.4,769.43,否,需复盘
BS-2508-0049,2025-09-18 00:00:00,NY-KW-2508-023,仓库分拣,软烂,445.1,125.9,319.2,1985.46,是,需复盘
BS-2508-0050,2025-09-30 00:00:00,NY-KW-2508-003,仓库分拣,表皮皱缩,37.9,20.1,17.8,222.24,否,已和采购沟通
BS-2508-0051,2025-09-06 00:00:00,NY-KW-2508-021,客户退货,碰压伤,174.2,46,128.2,705.68,否,需复盘
BS-2508-0052,2025-09-28 00:00:00,NY-KW-2508-019,门店收货,规格不符,21.1,13.1,8,143.87,否,门店已反馈
BS-2508-0053,2025-09-03 00:00:00,NY-KW-2508-001,门店收货,过熟偏软,74.5,44.2,30.3,479.88,是,已和采购沟通
BS-2508-0054,2025-10-11 00:00:00,NY-KW-2508-004,仓库分拣,软烂,78.7,27.4,51.3,262.73,是,门店已反馈
BS-2508-0055,2025-09-26 00:00:00,NY-KW-2508-003,仓库分拣,过熟偏软,436.4,199.8,236.6,2162.82,是,需复盘
BS-2508-0056,2025-10-06 00:00:00,NY-KW-2508-014,门店收货,表皮皱缩,120.7,49.9,70.8,494.36,否,已和采购沟通
BS-2508-0057,2025-09-02 00:00:00,NY-KW-2508-021,客户退货,规格不符,441.2,267.8,173.4,2877.88,否,需复盘
BS-2508-0058,2025-09-07 00:00:00,NY-KW-2508-006,仓库分拣,霉点,252.3,133.2,119.1,1250.63,否,正常记录
BS-2508-0059,2025-09-26 00:00:00,NY-KW-2508-020,仓库分拣,表皮皱缩,277.6,70.2,207.4,997.48,否,正常记录
BS-2508-0060,2025-09-29 00:00:00,NY-KW-2508-019,运输到货,过熟偏软,229.6,104.7,124.9,1265.27,是,正常记录
BS-2508-0061,2025-10-05 00:00:00,NY-KW-2508-028,门店收货,软烂,353.6,127.8,225.8,1785.98,是,需复盘
BS-2508-0062,2025-09-28 00:00:00,NY-KW-2508-020,客户退货,软烂,230.1,89.3,140.8,882.11,是,需复盘
BS-2508-0063,2025-10-10 00:00:00,NY-KW-2508-013,门店收货,规格不符,199.1,115.7,83.4,1082.71,否,正常记录
BS-2508-0064,2025-09-13 00:00:00,NY-KW-2508-027,运输到货,软烂,298,196.4,101.6,2357.69,是,需复盘
BS-2508-0065,2025-09-18 00:00:00,NY-KW-2508-022,仓库分拣,过熟偏软,416.1,274.9,141.2,2782.26,是,需复盘
BS-2508-0066,2025-10-03 00:00:00,NY-KW-2508-009,门店收货,碰压伤,159,65.3,93.7,738.24,否,需复盘
BS-2508-0067,2025-10-09 00:00:00,NY-KW-2508-014,运输到货,规格不符,422.2,134.2,288,1515.94,否,需复盘
BS-2508-0068,2025-10-14 00:00:00,NY-KW-2508-013,仓库分拣,软烂,335.3,156.9,178.4,1625.91,是,门店已反馈
BS-2508-0069,2025-09-27 00:00:00,NY-KW-2508-012,门店收货,表皮皱缩,277.7,155.4,122.3,1547.47,否,门店已反馈
BS-2508-0070,2025-10-02 00:00:00,NY-KW-2508-017,仓库分拣,过熟偏软,76.2,53.3,22.9,440.2,是,需复盘
BS-2508-0071,2025-10-19 00:00:00,NY-KW-2508-016,仓库分拣,碰压伤,266.7,134.5,132.2,1477.3,否,正常记录
BS-2508-0072,2025-08-27 00:00:00,NY-KW-2508-001,运输到货,软烂,67.8,20.6,47.2,352.81,是,需复盘
BS-2508-0073,2025-08-31 00:00:00,NY-KW-2508-001,客户退货,过熟偏软,165.3,46,119.3,699.76,是,门店已反馈
BS-2508-0074,2025-10-28 00:00:00,NY-KW-2508-010,仓库分拣,软烂,198.9,111.6,87.3,1249.95,是,正常记录
BS-2508-0075,2025-10-14 00:00:00,NY-KW-2508-004,运输到货,软烂,394.6,239.3,155.3,1830.76,是,需复盘
