试验原始数据,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
可溶性固形物,%,14,CK,2,10.8,实验资料/可溶性固形物.xlsx
可溶性固形物,%,14,CK,3,11.1,实验资料/可溶性固形物.xlsx
可溶性固形物,%,14,GA3,1,8.9,实验资料/可溶性固形物.xlsx
可溶性固形物,%,14,GA3,2,9.2,实验资料/可溶性固形物.xlsx
可溶性固形物,%,14,GA3,3,8.9,实验资料/可溶性固形物.xlsx
可溶性固形物,%,21,CK,1,13.4,实验资料/可溶性固形物.xlsx
可溶性固形物,%,21,CK,2,13.6,实验资料/可溶性固形物.xlsx
可溶性固形物,%,21,CK,3,13.5,实验资料/可溶性固形物.xlsx
可溶性固形物,%,21,GA3,1,10.4,实验资料/可溶性固形物.xlsx
可溶性固形物,%,21,GA3,2,10.6,实验资料/可溶性固形物.xlsx
可溶性固形物,%,21,GA3,3,10.5,实验资料/可溶性固形物.xlsx
可溶性固形物,%,28,CK,1,15.1,实验资料/可溶性固形物.xlsx
可溶性固形物,%,28,CK,2,14.9,实验资料/可溶性固形物.xlsx
可溶性固形物,%,28,CK,3,15,实验资料/可溶性固形物.xlsx
可溶性固形物,%,28,GA3,1,11.9,实验资料/可溶性固形物.xlsx
可溶性固形物,%,28,GA3,2,12.1,实验资料/可溶性固形物.xlsx
可溶性固形物,%,28,GA3,3,12,实验资料/可溶性固形物.xlsx
总酸,%,0,CK,1,1.2,实验资料/总酸.xlsx
总酸,%,0,CK,2,1.21,实验资料/总酸.xlsx
总酸,%,0,CK,3,1.19,实验资料/总酸.xlsx
总酸,%,0,GA3,1,1.2,实验资料/总酸.xlsx
总酸,%,0,GA3,2,1.2,实验资料/总酸.xlsx
总酸,%,0,GA3,3,1.2,实验资料/总酸.xlsx
总酸,%,7,CK,1,0.99,实验资料/总酸.xlsx
总酸,%,7,CK,2,1.01,实验资料/总酸.xlsx
总酸,%,7,CK,3,1,实验资料/总酸.xlsx
总酸,%,7,GA3,1,1.14,实验资料/总酸.xlsx
总酸,%,7,GA3,2,1.16,实验资料/总酸.xlsx
总酸,%,7,GA3,3,1.15,实验资料/总酸.xlsx
总酸,%,14,CK,1,0.84,实验资料/总酸.xlsx
总酸,%,14,CK,2,0.86,实验资料/总酸.xlsx
总酸,%,14,CK,3,0.85,实验资料/总酸.xlsx
总酸,%,14,GA3,1,1.09,实验资料/总酸.xlsx
总酸,%,14,GA3,2,1.11,实验资料/总酸.xlsx
总酸,%,14,GA3,3,1.1,实验资料/总酸.xlsx
总酸,%,21,CK,1,0.69,实验资料/总酸.xlsx
总酸,%,21,CK,2,0.71,实验资料/总酸.xlsx
总酸,%,21,CK,3,0.7,实验资料/总酸.xlsx
总酸,%,21,GA3,1,1.04,实验资料/总酸.xlsx
总酸,%,21,GA3,2,1.06,实验资料/总酸.xlsx
总酸,%,21,GA3,3,1.05,实验资料/总酸.xlsx
总酸,%,28,CK,1,0.59,实验资料/总酸.xlsx
总酸,%,28,CK,2,0.61,实验资料/总酸.xlsx
总酸,%,28,CK,3,0.6,实验资料/总酸.xlsx
总酸,%,28,GA3,1,0.99,实验资料/总酸.xlsx
总酸,%,28,GA3,2,1.01,实验资料/总酸.xlsx
总酸,%,28,GA3,3,1,实验资料/总酸.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,0,CK,1,0,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,0,CK,2,0,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,0,CK,3,0,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,0,GA3,1,0,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,0,GA3,2,0,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,0,GA3,3,0,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,7,CK,1,0.5,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,7,CK,2,0.6,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,7,CK,3,0.4,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,7,GA3,1,0,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,7,GA3,2,0,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,7,GA3,3,0,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,14,CK,1,0.9,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,14,CK,2,1.1,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,14,CK,3,1,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,14,GA3,1,0,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,14,GA3,2,0,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,14,GA3,3,0.1,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,21,CK,1,7.8,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,21,CK,2,8.2,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,21,CK,3,8,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,21,GA3,1,0.1,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,21,GA3,2,0.2,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,21,GA3,3,0.1,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,28,CK,1,13.8,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,28,CK,2,14.2,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,28,CK,3,14,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,28,GA3,1,0.4,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,28,GA3,2,0.6,实验资料/乙烯释放速率.xlsx
乙烯释放速率,μL·kg⁻¹·h⁻¹,28,GA3,3,0.5,实验资料/乙烯释放速率.xlsx
淀粉含量,g·kg⁻¹ FW,0,CK,1,65,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,0,CK,2,65,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,0,CK,3,65,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,0,GA3,1,65,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,0,GA3,2,65,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,0,GA3,3,65,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,7,CK,1,29.5,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,7,CK,2,30.5,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,7,CK,3,30,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,7,GA3,1,35.5,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,7,GA3,2,36.5,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,7,GA3,3,36,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,14,CK,1,17.5,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,14,CK,2,18.5,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,14,CK,3,18,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,14,GA3,1,29.5,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,14,GA3,2,30.5,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,14,GA3,3,30,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,21,CK,1,8.5,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,21,CK,2,9.5,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,21,CK,3,9,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,21,GA3,1,23.5,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,21,GA3,2,24.5,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,21,GA3,3,24,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,28,CK,1,4.8,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,28,CK,2,5.2,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,28,CK,3,5,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,28,GA3,1,17.5,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,28,GA3,2,18.5,实验资料/淀粉含量.xlsx
淀粉含量,g·kg⁻¹ FW,28,GA3,3,18,实验资料/淀粉含量.xlsx
抗坏血酸,g·kg⁻¹ FW,0,CK,1,0.58,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,0,CK,2,0.59,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,0,CK,3,0.57,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,0,GA3,1,0.6,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,0,GA3,2,0.61,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,0,GA3,3,0.6,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,7,CK,1,0.78,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,7,CK,2,0.79,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,7,CK,3,0.77,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,7,GA3,1,0.81,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,7,GA3,2,0.82,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,7,GA3,3,0.8,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,14,CK,1,0.85,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,14,CK,2,0.86,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,14,CK,3,0.84,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,14,GA3,1,0.88,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,14,GA3,2,0.89,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,14,GA3,3,0.87,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,21,CK,1,0.68,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,21,CK,2,0.69,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,21,CK,3,0.67,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,21,GA3,1,0.71,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,21,GA3,2,0.72,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,21,GA3,3,0.7,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,28,CK,1,0.48,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,28,CK,2,0.49,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,28,CK,3,0.47,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,28,GA3,1,0.51,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,28,GA3,2,0.52,实验资料/抗坏血酸.xlsx
抗坏血酸,g·kg⁻¹ FW,28,GA3,3,0.5,实验资料/抗坏血酸.xlsx
