质检抽检,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
2025-09-29 00:00:00,NY-KW-2508-009,4,20,5.09,11.9,B,可售,偏硬,广州质检组
2025-10-01 00:00:00,NY-KW-2508-009,6,15,3.86,12.3,C,临界,适熟,深圳质检组
2025-10-03 00:00:00,NY-KW-2508-009,8,12,2.98,14.6,B,临界,适熟,南宁质检组
2025-10-19 00:00:00,NY-KW-2508-010,0,15,6.59,10,A,可售,无,广州质检组
2025-10-21 00:00:00,NY-KW-2508-010,2,15,5.1,11.1,A,可售,无,深圳质检组
2025-10-23 00:00:00,NY-KW-2508-010,4,12,3.7,12.5,B,临界,偏软,深圳质检组
2025-10-27 00:00:00,NY-KW-2508-010,8,20,1.8,13.8,C,不建议销售,偏软,深圳质检组
2025-10-25 00:00:00,NY-KW-2508-010,6,15,3.03,12.6,C,临界,适熟,广州质检组
2025-09-24 00:00:00,NY-KW-2508-011,0,20,8.55,7.8,A,可售,无,广州质检组
2025-09-26 00:00:00,NY-KW-2508-011,2,12,7.64,9.1,A,可售,偏硬,广州质检组
2025-09-28 00:00:00,NY-KW-2508-011,4,12,6.67,10.2,A,可售,适熟,广州质检组
2025-09-30 00:00:00,NY-KW-2508-011,6,15,4.71,12,A,可售,适熟,深圳质检组
2025-10-02 00:00:00,NY-KW-2508-011,8,20,4.65,10.3,A,可售,无,深圳质检组
2025-09-18 00:00:00,NY-KW-2508-012,0,12,7.61,8.9,B,可售,适熟,广州质检组
2025-09-20 00:00:00,NY-KW-2508-012,2,15,6.12,10.2,B,可售,适熟,深圳质检组
2025-09-22 00:00:00,NY-KW-2508-012,4,12,4.76,11.1,A,可售,无,广州质检组
2025-09-24 00:00:00,NY-KW-2508-012,6,15,4.99,11.3,A,可售,适熟,南宁质检组
2025-09-26 00:00:00,NY-KW-2508-012,8,12,2.03,13.7,C,不建议销售,偏软,广州质检组
2025-10-08 00:00:00,NY-KW-2508-013,0,15,8.44,8.3,A,可售,无,深圳质检组
2025-10-10 00:00:00,NY-KW-2508-013,2,20,7.42,9.6,A,可售,偏硬,广州质检组
2025-10-12 00:00:00,NY-KW-2508-013,4,15,5.78,9.6,A,可售,偏硬,广州质检组
2025-10-14 00:00:00,NY-KW-2508-013,6,12,3.52,10.8,B,临界,适熟,深圳质检组
2025-10-16 00:00:00,NY-KW-2508-013,8,15,3.56,10.9,C,临界,偏软,深圳质检组
2025-10-03 00:00:00,NY-KW-2508-014,0,12,8.63,8.6,B,可售,偏硬,南宁质检组
2025-10-05 00:00:00,NY-KW-2508-014,2,12,7.48,9.3,A,可售,偏硬,深圳质检组
2025-10-07 00:00:00,NY-KW-2508-014,4,20,6.89,11,A,可售,偏硬,广州质检组
2025-10-09 00:00:00,NY-KW-2508-014,6,15,4.59,11.4,A,可售,偏硬,广州质检组
2025-10-11 00:00:00,NY-KW-2508-014,8,20,3.97,12,C,临界,偏软,南宁质检组
2025-10-18 00:00:00,NY-KW-2508-015,0,12,7.7,8,A,可售,无,广州质检组
2025-10-20 00:00:00,NY-KW-2508-015,2,12,6.27,9.1,A,可售,适熟,南宁质检组
2025-10-22 00:00:00,NY-KW-2508-015,4,15,5.6,9.9,A,可售,无,广州质检组
2025-10-24 00:00:00,NY-KW-2508-015,6,12,4.93,10,A,可售,适熟,深圳质检组
2025-10-26 00:00:00,NY-KW-2508-015,8,15,2.06,11.4,D,不建议销售,偏软,南宁质检组
2025-10-12 00:00:00,NY-KW-2508-016,0,15,8.51,9.5,B,可售,偏硬,深圳质检组
2025-10-14 00:00:00,NY-KW-2508-016,2,20,7.66,10.9,A,可售,无,深圳质检组
2025-10-16 00:00:00,NY-KW-2508-016,4,15,5.29,10.9,A,可售,无,南宁质检组
2025-10-18 00:00:00,NY-KW-2508-016,6,12,3.66,11.5,B,临界,偏软,广州质检组
2025-10-20 00:00:00,NY-KW-2508-016,8,20,3.57,13.4,C,临界,适熟,南宁质检组
2025-09-30 00:00:00,NY-KW-2508-017,0,12,7.19,9.4,A,可售,无,广州质检组
2025-10-02 00:00:00,NY-KW-2508-017,2,20,6.21,10.4,A,可售,适熟,南宁质检组
2025-10-04 00:00:00,NY-KW-2508-017,4,20,4.37,11.2,C,临界,偏软,南宁质检组
2025-10-06 00:00:00,NY-KW-2508-017,6,20,3.82,12.1,B,临界,偏软,南宁质检组
2025-10-08 00:00:00,NY-KW-2508-017,8,20,0.84,13.4,C,不建议销售,偏软,广州质检组
2025-10-09 00:00:00,NY-KW-2508-018,0,15,8.61,9.6,A,可售,偏硬,深圳质检组
2025-10-11 00:00:00,NY-KW-2508-018,2,12,7.84,11,A,可售,偏硬,广州质检组
2025-10-13 00:00:00,NY-KW-2508-018,4,12,5.4,11.8,A,可售,无,深圳质检组
2025-10-15 00:00:00,NY-KW-2508-018,6,15,5.24,13.7,B,可售,适熟,南宁质检组
2025-10-17 00:00:00,NY-KW-2508-018,8,15,3.69,12.4,B,临界,适熟,广州质检组
2025-09-20 00:00:00,NY-KW-2508-019,0,12,6.56,8.8,A,可售,偏硬,广州质检组
2025-09-22 00:00:00,NY-KW-2508-019,2,12,5.25,10.1,A,可售,适熟,南宁质检组
2025-09-24 00:00:00,NY-KW-2508-019,4,12,3.5,10.1,C,临界,偏软,广州质检组
2025-09-26 00:00:00,NY-KW-2508-019,6,20,3.42,11.4,C,临界,偏软,深圳质检组
2025-09-28 00:00:00,NY-KW-2508-019,8,20,2.95,11.2,B,临界,适熟,南宁质检组
2025-09-18 00:00:00,NY-KW-2508-020,0,15,6.94,9.6,A,可售,偏硬,南宁质检组
2025-09-20 00:00:00,NY-KW-2508-020,2,15,6.11,10.3,A,可售,偏硬,南宁质检组
2025-09-22 00:00:00,NY-KW-2508-020,4,15,4.22,11.8,C,临界,偏软,广州质检组
2025-09-24 00:00:00,NY-KW-2508-020,6,12,3.63,11.5,C,临界,偏软,广州质检组
2025-09-26 00:00:00,NY-KW-2508-020,8,12,2.29,14.9,D,不建议销售,偏软,南宁质检组
2025-08-28 00:00:00,NY-KW-2508-021,0,12,8.66,7.8,B,可售,无,广州质检组
2025-08-30 00:00:00,NY-KW-2508-021,2,12,7.39,8.6,A,可售,无,南宁质检组
2025-09-01 00:00:00,NY-KW-2508-021,4,12,7.09,9.5,A,可售,偏硬,广州质检组
2025-09-03 00:00:00,NY-KW-2508-021,6,15,6.36,11.1,A,可售,无,深圳质检组
2025-09-05 00:00:00,NY-KW-2508-021,8,20,5.45,11.6,B,可售,无,深圳质检组
2025-09-08 00:00:00,NY-KW-2508-022,0,12,7.46,7.2,B,可售,适熟,深圳质检组
2025-09-10 00:00:00,NY-KW-2508-022,2,20,6.33,8.3,A,可售,偏硬,南宁质检组
2025-09-12 00:00:00,NY-KW-2508-022,4,12,5.3,8.4,B,可售,偏硬,南宁质检组
2025-09-14 00:00:00,NY-KW-2508-022,6,15,4.33,9.4,C,临界,适熟,南宁质检组
2025-09-16 00:00:00,NY-KW-2508-022,8,12,2.56,12.2,B,临界,适熟,深圳质检组
2025-09-11 00:00:00,NY-KW-2508-023,0,12,6.9,10.1,A,可售,适熟,深圳质检组
2025-09-13 00:00:00,NY-KW-2508-023,2,12,5.84,10.9,B,可售,无,广州质检组
2025-09-15 00:00:00,NY-KW-2508-023,4,20,4.6,11.4,A,可售,适熟,广州质检组
2025-09-17 00:00:00,NY-KW-2508-023,6,20,3.91,13.7,C,临界,偏软,南宁质检组
2025-09-19 00:00:00,NY-KW-2508-023,8,15,3.45,13.3,C,临界,偏软,广州质检组
2025-09-21 00:00:00,NY-KW-2508-024,0,20,8.37,8.8,A,可售,偏硬,深圳质检组
2025-09-23 00:00:00,NY-KW-2508-024,2,12,7.1,10.1,B,可售,偏硬,广州质检组
2025-09-25 00:00:00,NY-KW-2508-024,4,12,5.44,10.6,A,可售,偏硬,南宁质检组
2025-09-27 00:00:00,NY-KW-2508-024,6,20,4.88,12.9,B,可售,偏硬,广州质检组
2025-09-29 00:00:00,NY-KW-2508-024,8,15,2.1,13.7,C,不建议销售,偏软,广州质检组
2025-10-16 00:00:00,NY-KW-2508-025,0,12,8.25,9.5,A,可售,偏硬,深圳质检组
2025-10-18 00:00:00,NY-KW-2508-025,2,20,6.91,10.1,A,可售,无,广州质检组
2025-10-20 00:00:00,NY-KW-2508-025,4,12,5.47,11.3,A,可售,无,广州质检组
2025-10-22 00:00:00,NY-KW-2508-025,6,12,5.71,12.5,A,可售,偏硬,南宁质检组
2025-10-24 00:00:00,NY-KW-2508-025,8,20,2,13.6,C,不建议销售,偏软,广州质检组
2025-09-04 00:00:00,NY-KW-2508-026,0,15,8.64,9.1,B,可售,适熟,广州质检组
2025-09-06 00:00:00,NY-KW-2508-026,2,15,7.82,10.4,A,可售,无,南宁质检组
2025-09-08 00:00:00,NY-KW-2508-026,4,12,6.21,10.3,B,可售,无,广州质检组
2025-09-10 00:00:00,NY-KW-2508-026,6,20,3.99,12.2,C,临界,适熟,广州质检组
2025-09-12 00:00:00,NY-KW-2508-026,8,12,2.5,13.5,C,不建议销售,偏软,深圳质检组
2025-09-06 00:00:00,NY-KW-2508-027,0,20,6.48,9.9,A,可售,偏硬,广州质检组
2025-09-08 00:00:00,NY-KW-2508-027,2,12,5.34,10.7,B,可售,无,深圳质检组
2025-09-10 00:00:00,NY-KW-2508-027,4,15,4.7,11.8,B,可售,无,南宁质检组
2025-09-12 00:00:00,NY-KW-2508-027,6,15,2.14,13.6,C,不建议销售,偏软,深圳质检组
2025-09-14 00:00:00,NY-KW-2508-027,8,15,0.86,15,D,不建议销售,偏软,南宁质检组
2025-09-26 00:00:00,NY-KW-2508-028,0,15,7.69,7.6,A,可售,无,深圳质检组
2025-09-28 00:00:00,NY-KW-2508-028,2,15,6.29,8.9,A,可售,适熟,南宁质检组
2025-09-30 00:00:00,NY-KW-2508-028,4,15,5.26,9.8,B,可售,偏硬,深圳质检组
2025-10-02 00:00:00,NY-KW-2508-028,6,20,4.86,10,A,可售,无,广州质检组
2025-10-04 00:00:00,NY-KW-2508-028,8,20,3.39,10.1,C,临界,适熟,南宁质检组
